test,rows,profiled_nuisance_rank,chi2_null,chi2_frozen,dof,delta_chi2,logL_null,logL_frozen,likelihood_ratio,p_null_gof,p_frozen_gof,fitted_amplitude,fitted_amplitude_sigma,template_information,mock_p_frozen_direction,analytic_p_frozen_direction,covariance_rank,training_rows,environment_rank,training_SN_blocks,heldout_error_semantics,cross_release_covariance
P_original_heldout_release_only,1208,12,1038.5382330828595,1041.5227424587813,1196,2.984509375921789,709.2671976799194,707.7749429919585,0.22486508295020766,0.9996088818824082,0.999502596213043,-0.011470941711973324,0.0171340672446717,3406.269971642359,0.24687656171914044,0.2515941765001143,1208,,,,,
DES_original_heldout_release_only,1467,10,1276.0141283896116,1276.2544264606383,1457,0.2402980710267002,35.13855764465586,35.01840860914251,0.8867882639240353,0.9997585797437112,0.9997541472158851,0.23184708795030712,0.30193532324971173,10.969129210168845,0.7711144427786107,0.7787178000652584,1467,,,,,
P_original_training_to_heldout,1208,12,1014.2385692201266,1013.3557311792156,1196,-0.8828380409109968,713.6078523631402,714.0492713835956,1.5549121058359279,0.999953761446653,0.9999574731351799,-0.02484170909029214,0.017792646258823628,3158.776591871908,0.07246376811594203,0.081330383787736,1208,357.0,10.0,273.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
DES_Pantheon_transfer,1467,10,1138.2924227460546,1139.6135983106608,1457,1.3211755646061647,101.17034349402036,100.50975571171728,0.5165476276894463,0.9999999999153482,0.9999999998977954,0.01111855497334308,0.04627102449499009,467.06978043535065,0.5897051474262869,0.5949480346552675,1467,1565.0,13.0,1446.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,"unreleased; zero assumed for this transfer, never combine surveys into joint significance"
P_training_to_heldout_fixed_external_PV_sensitivity,1208,12,1012.9344755929843,1008.0256400594093,1196,-4.908835533575029,714.2598991767113,716.7143169434987,11.639654582121606,0.9999591439768974,0.9999745778510111,-0.03958782595421476,0.017792646258823628,3158.776591871908,0.010994502748625687,0.013042150929342376,1208,357.0,10.0,273.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_sky_0,639,14,501.01027545299456,500.35314925115506,625,-0.6571262018395032,378.24243091624453,378.5709940171643,1.3889708829031295,0.9999118922062257,0.9999191753889908,-0.0677877831732667,0.07793624193525138,164.63458725223168,0.19640179910044978,0.192208923655165,639,926.0,13.0,847.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_sky_1,279,14,184.7118690173528,184.7440146760365,265,0.032145658683703004,175.87111903886614,175.8550462095243,0.9840556493201653,0.9999497301664331,0.9999493597575385,-0.02066028357066835,0.05048278972737796,392.38582238701423,0.3373313343328336,0.3411766351259983,279,1286.0,13.0,1201.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_sky_2,286,14,242.3256045010285,238.62799744424086,272,-3.697607056787632,151.60425660063453,153.45306012902833,6.352214729489315,0.9019732899362679,0.9285421431160451,-0.09601154903365616,0.04170369774054207,574.9775281476132,0.008995502248875561,0.010661072101673857,286,1279.0,13.0,1183.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_sky_3,361,14,351.6439397815038,346.68208893581294,347,-4.961850845690833,162.65005552592348,165.1309809487689,11.952320251616086,0.4204341431824517,0.49471802787957464,-0.12702696446100414,0.04285245798555225,544.5634944059252,0.0014992503748125937,0.0015169282140903928,361,1204.0,13.0,1107.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_1,321,8,348.71479989563534,347.6031815433884,313,-1.1116183522469214,158.31764429707226,158.87345347319572,1.7433510922631472,0.08032151018274117,0.08667451392907907,-0.14258127756290806,0.09698512236182932,106.31382995162117,0.07796101949025487,0.07076252100683723,321,1244.0,13.0,1125.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_4,160,6,88.35613699758983,88.41758859905588,154,0.06145160146604667,95.7145646107137,95.68383880998067,0.9697414390159723,0.9999951341841097,0.9999950176884665,0.01918983062614555,0.23954715383078742,17.42681294656329,0.5332333833083458,0.5319246307499875,160,1405.0,13.0,1286.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_5,76,6,66.10590612992628,61.7708289115743,70,-4.335077218351984,40.928139926177046,43.09567853535304,8.73675298980489,0.6097904952612588,0.7478787500283451,-0.06970026333668913,0.030965430279906125,1042.907430562622,0.012993503248375811,0.012195755514192719,76,1427.0,13.0,1370.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_10,203,8,124.34972520476678,124.27777771521887,195,-0.07194748954790953,138.70411884556017,138.74009259033414,1.0366286292146425,0.9999791576891868,0.9999795983584658,-0.027295687953325102,0.08265974161189527,146.3564656660428,0.3893053473263368,0.3706178364577679,203,1362.0,13.0,1243.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_15,269,13,226.96359149681837,229.16056977773246,256,2.196978280914095,163.23143005618402,162.13294091572698,0.33337438526470475,0.904136444358794,0.8850469184736598,0.1484694384597984,0.08179920443636471,149.4520375472107,0.9630184907546226,0.9652416920535962,269,1296.0,13.0,1177.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_18,11,3,4.7169459496547566,5.529257586469432,8,0.8123116368146759,7.843382089259457,7.437226270852119,0.6662063521241826,0.7873564472300777,0.6997963877524802,0.03661185960751631,0.07870695945836766,161.42609058825718,0.6771614192903548,0.6790939718994875,11,1554.0,13.0,1435.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_50,28,6,15.832360256950565,16.666617339565825,22,0.8342570826152595,12.700981647694547,12.283853106386918,0.6589362139775402,0.8241178075183262,0.7814831051687317,0.013312610333255766,0.06014924066514935,276.40105845657126,0.5897051474262869,0.5875808227389046,28,1534.0,13.0,1418.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_51,38,6,26.11109963894933,25.270210716809316,32,-0.8408889221400138,18.03188770742255,18.452332168492553,1.5226381586308644,0.7586712791083138,0.7949399111759758,-0.05971570861492801,0.06258566821159822,255.29964629250793,0.17191404297851073,0.17000550437280554,38,1501.0,13.0,1408.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_56,36,5,28.392563469685136,27.062531896779237,31,-1.3300315729058987,5.096647512798722,5.761663299251671,1.944521218187253,0.6008369059195484,0.6690284646301607,-0.07920419893860577,0.06117922248441138,267.1727086052896,0.09795102448775612,0.09772467645573663,36,1511.0,13.0,1410.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_57,88,5,57.33474674996902,58.37989025005125,83,1.0451435000822258,43.6229938999855,43.100422149944386,0.5929935540914099,0.9857949241601157,0.9816048349673846,-0.007474337957944773,0.03418846863758532,855.5407560379438,0.4217891054472764,0.41347240994915724,88,1412.0,13.0,1358.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_61,8,4,2.6567921315419163,3.947217938144669,4,1.2904258066027525,5.998134435336274,5.352921532034898,0.5245508516093296,0.616796322467696,0.4131962518361295,0.17928764961035787,0.115999824387655,74.31651514610043,0.936031984007996,0.938897650511192,8,1557.0,13.0,1438.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_62,20,5,19.625663350595552,18.576884066488944,15,-1.0487792841066081,6.265738222858506,6.79012786491181,1.689427378202452,0.1867677171535716,0.23355145552299822,-0.12909164359368153,0.09411684537415779,112.89254820658556,0.09645177411294353,0.08509237781308437,20,1536.0,13.0,1426.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_63,29,6,21.33046441677679,19.76290063277896,23,-1.56756378399783,14.896579777963593,15.680361669962508,2.1897379781694153,0.560914182060135,0.6561690460058935,-0.12464501408428323,0.07537411633521413,176.01737207971524,0.0544727636181909,0.04909580843878637,29,1520.0,13.0,1417.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_64,53,6,45.13215636491531,42.85439832907916,47,-2.2777580358361504,26.56244382427951,27.701322842197584,3.1232652776904417,0.5502157349416471,0.6448672287065451,-0.07083642745551974,0.043220733168012206,535.3227996826979,0.05297351324337831,0.0506123020887603,53,1464.0,13.0,1393.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_65,36,6,18.792391766796392,19.97298447066225,30,1.1805927038658588,19.764739834420435,19.174443482487504,0.5541630331115456,0.9442482033112861,0.9172430723755156,0.0208774037711481,0.05577105825644334,321.5009269185134,0.6461769115442278,0.6459247509428354,36,1500.0,13.0,1410.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_66,11,5,13.60670329927111,15.073992427889893,6,1.4672891286187824,2.1676887222234704,1.4340441579140792,0.4801558384620417,0.03435172300131101,0.01968896170988944,0.23646869996179426,0.12329773707201434,65.77938188466644,0.9725137431284357,0.9724360812122499,11,1552.0,13.0,1435.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_100,5,2,3.9345105880583637,3.8858116017750306,3,-0.048698986283333134,1.8367239515970664,1.861073444738733,1.024648362895292,0.2686231911911591,0.2740613408834177,-2.8912182583836668,2.256783757962665,0.19634511692726303,0.1089455272363818,0.10007518028259643,5,1560.0,13.0,1441.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_leave_survey_150,173,6,139.7529052374281,135.02127328281787,167,-4.731631954610236,93.69667412444225,96.06249010174737,10.652727656085338,0.9386675091929894,0.9670278364708023,-0.05045258076514189,0.022954308504213327,1897.8923337735841,0.01699150424787606,0.013976088730418423,173,1390.0,13.0,1273.0,joint Gaussian prediction-error covariance propagated from released total C; fixed external/source features; no feature-error covariance supplied,
P_sky_crossfit_joint,1565,14,1333.6068089064183,1326.9604099827693,1542,-6.646398923649031,860.4831608368513,863.8063602986758,27.748990518651745,0.9999564855793599,0.9999750732131285,-0.031511528744380124,0.0113484793166265,7764.699611404897,0.001999000499750125,0.0027455384355653356,1556,,,,,
P_sky_crossfit_fixed_external_PV_sensitivity,1565,14,1370.0623465541703,1349.9068004114035,1542,-20.155546142766752,842.2553920129753,852.3331650843587,23807.907952511217,0.9993297485720769,0.999842093254366,-0.051640721459379764,0.0113484793166265,7764.699611404897,0.0004997501249375312,2.676527513046001e-06,1556,,,,,
P_external_PV_fixed_mean_sensitivity,581,6,549.1003370171455,528.4518303469481,575,-20.648506670197435,265.7141934757945,276.0384468108932,30462.549872187425,0.7751100695884493,0.9179975714093963,-0.052240431918835324,0.0113235875561131,7798.874200537796,0.0004997501249375312,1.9805119157332667e-06,581,,,,,
P_external_PV_covered_release_control,581,6,513.179620095156,507.0126311936376,575,-6.16698890151838,283.67455193678927,286.75804638754846,21.83456906479859,0.9694591549864116,0.9807708075569338,-0.03075692140295472,0.0113235875561131,7798.874200537796,0.0029985007496251873,0.003301983062536619,581,,,,,
P_crossfit_density_low,783,14,671.4730742807989,673.2701470482251,769,1.7970727674262434,423.553005313352,422.6544689296389,0.40716515740007775,0.9951071333849273,0.9943482541565141,-0.010864987086745496,0.022731130996011265,1935.3428418188162,0.30884557721139433,0.316332829139924,783,,,,,
P_crossfit_density_high,782,14,633.4788957742229,622.533348785402,768,-10.945546988820865,443.78653204871176,449.2593055431222,238.11970142753015,0.9998630760548136,0.999962301968786,-0.06404105056181707,0.018305064003737093,2984.403196895354,0.0009995002498750624,0.00023390396725320682,782,,,,,
P_crossfit_same_z_different_direction,587,11,471.7393167662674,461.2735768477724,576,-10.46573991849499,108.1242763944125,113.35714635366,187.32966126542846,0.9994421959095674,0.9998497808413962,-0.06603713309007893,0.019155206436991812,2725.3753681862295,0.0014992503748125937,0.0002829243208377418,587,,,,,
P_crossfit_same_direction_different_z,517,13,442.15285876065354,441.30104638713107,504,-0.8518123735224776,94.55078853735091,94.97669472411215,1.5309771424718255,0.9779269366700081,0.9794245814573157,-0.06897949824537308,0.06933052834223952,208.04198093185875,0.14742628685657172,0.1598834868178824,517,,,,,
P_crossfit_shared_foreground_different_z,525,13,460.30177008259494,459.50842695857597,512,-0.7933431240189748,90.43914860660138,90.83582016861087,1.4868675060713494,0.950771057854519,0.9534251810294206,-0.0639975992477482,0.06795743570910127,216.53396784465636,0.17341329335332334,0.17316528257956276,525,,,,,
DES_transfer_same_direction_different_z,730,8,530.8666150448515,530.0535718801858,722,-0.8130431646657144,-436.7578072559492,-436.35128567361636,1.5015855487352503,0.9999999848838832,0.9999999869995907,-0.3856706299246045,0.19672956807825392,25.838108826400113,0.025487256371814093,0.02497393883125381,730,,,,,
DES_transfer_shared_foreground_different_z,730,8,530.8666150448515,530.0535718801858,722,-0.8130431646657144,-436.7578072559492,-436.35128567361636,1.5015855487352503,0.9999999848838832,0.9999999869995907,-0.3856706299246045,0.19672956807825392,25.838108826400113,0.025487256371814093,0.02497393883125381,730,,,,,
