test,shell,z_min,z_max,cells,score_null_mean,score_after_frozen_mean,p_mock,kernel_effective_rank,distinct_crossing_SN_rows,p_max_over_shells
P_crossfit,0,0.0,0.01,156,0.35065573884258266,1.7323693757718055,0.28385807096451776,9.14765771120261,1565,0.5102448775612194
P_crossfit,1,0.01,0.03,1479,0.8158306268730048,1.4643908927380445,0.16941529235382308,37.83783670303591,1565,0.3278360819590205
P_crossfit,2,0.03,0.05,1367,0.34218054118641955,0.88325983898095,0.3233383308345827,50.014752979751485,1204,0.512743628185907
P_crossfit,3,0.05,0.1,929,0.07736284552368129,0.5700940114377039,0.4062968515742129,47.94791267656678,1031,0.6271864067966016
DES_transfer,0,0.0,0.01,156,-0.7891343348545182,-0.35111102885007506,0.7931034482758621,2.2758268850049483,1467,0.9190404797601199
DES_transfer,1,0.01,0.03,1479,-0.4021497858494742,0.038075055159868164,0.5642178910544727,3.3875149317505238,1467,0.7416291854072964
DES_transfer,2,0.03,0.05,1367,-0.4122758445751179,0.1023006279273971,0.5897051474262869,8.053782277671084,1467,0.7466266866566716
DES_transfer,3,0.05,0.1,929,0.07349218402732241,0.4616261413846059,0.3888055972013993,10.998793168089263,1467,0.5307346326836582
P_leave_sky_0,0,0.0,0.01,156,-0.17645913552244502,-0.0791243234256152,0.4452773613193403,3.4504452940508195,639,0.7286356821589205
P_leave_sky_0,1,0.01,0.03,1479,-0.5596236008232012,-0.4101634909695945,0.696151924037981,12.578360614826089,639,0.8940529735132434
P_leave_sky_0,2,0.03,0.05,1367,-1.054380834371955,-0.8955261015983232,0.9055472263868066,21.74236921343078,542,0.9955022488755623
P_leave_sky_0,3,0.05,0.1,929,-0.5139544554232836,-0.37533348973370184,0.7001499250374813,22.40764796322072,494,0.8765617191404298
P_leave_sky_1,0,0.0,0.01,156,-0.8979570076370804,-0.7344247755185032,0.9325337331334332,3.751276526803026,279,0.9875062468765617
P_leave_sky_1,1,0.01,0.03,1479,-1.4554391098483455,-1.3656486577710651,0.999000499750125,12.485822032650672,279,1.0
P_leave_sky_1,2,0.03,0.05,1367,-1.3091229388783547,-1.2452924668109753,0.992503748125937,9.291858510260063,188,1.0
P_leave_sky_1,3,0.05,0.1,929,-1.1590434288643485,-1.0999157373228012,0.9630184907546226,9.051718738009276,150,1.0
P_leave_sky_2,0,0.0,0.01,156,0.6102199872228854,-0.2693119695126869,0.1984007996001999,6.416381708569955,286,0.37181409295352325
P_leave_sky_2,1,0.01,0.03,1479,0.9076461111780322,0.18694168828625596,0.1469265367316342,21.57422178136537,286,0.2818590704647676
P_leave_sky_2,2,0.03,0.05,1367,1.0043652089422925,0.40320875853659227,0.13143428285857073,19.281800130928925,197,0.2563718140929535
