sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:1998dh,P0073,P0074,57,62,0.101300000000002,0.1315618485732091,0.03376434822453069,0.008194667446252933,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1998ef,P0220,P0221,57,62,-0.05649999999999977,0.3045866215052788,-0.013296584990317196,0.00938006526158049,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1998es,P0105,P0106,62,57,-0.11359999999999823,0.3016700183975862,-0.0237530344159287,0.00929620023790555,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999aa,P0205,P0206,57,62,0.033999999999998906,0.20522482793268462,-0.0199397973903301,0.004766678980398545,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999ac,P0112,P0113,57,62,-0.04919999999999908,0.28336762341523775,-0.0265983294519491,0.005292386817243146,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999cp,P0099,P0100,57,50,-0.1736000000000004,0.13860815271837368,-0.0084811154070763,0.00702170694726026,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999dk,P0158,P0159,50,57,0.1402000000000001,0.24040923443162493,0.005764846367039601,0.009587880446438173,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999dq,P0147,P0148,57,62,0.04830000000000462,0.13660406289711882,0.0365990406856891,0.004556507870346017,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999ej,P0189,P0190,57,62,0.0469000000000008,0.27309948736678363,-0.0486729630013779,0.02074602797172795,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:1999gp,P0409,P0410,62,57,-0.020400000000002208,0.16957452638884177,-0.0242527557430384,0.005007406736806414,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2000cn,P0328,P0329,57,62,0.0279999999999987,0.1780309523650312,-0.011172104707579497,0.009578276192624182,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2000dk,P0229,P0230,57,62,-0.008099999999998914,0.29668117567516816,0.0167619696989256,0.006653935993122043,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2000fa,P0319,P0320,57,62,-0.040700000000000985,0.18100566289483871,-0.009587535609144198,0.009437102450430876,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2001ah,P0675,P0676,63,57,-0.1657999999999972,0.22105718717110287,0.059538782140289404,0.04084018672399718,unreleased; sigma is a diagonal diagnostic only,local_fit_not_converged,ok
Pantheon:2001bf,P0201,P0202,57,63,0.09220000000000542,0.20970259893477716,-0.0359573619854571,0.007316803410371842,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2001da,P0226,P0227,57,63,-0.1783000000000002,0.2668123123096084,0.0532724298732294,0.021648487890155693,unreleased; sigma is a diagonal diagnostic only,ok,ok
