uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0000,21,21,0.009102324138317498
P0001,68,68,0.011611910337973257
P0002,58,58,0.002077954844892351
P0003,30,30,0.007393132216833883
P0004,54,54,0.0034940945668773655
P0005,20,20,0.006792872642490102
P0006,18,18,0.020161180528158594
P0007,79,79,0.0052289195267112175
P0008,24,24,0.008430778140762351
P0009,128,128,0.012699062769229665
P0010,35,35,0.004060259510988773
P0011,30,30,0.0076553897042652575
P0012,32,32,0.006273308656721696
P0013,15,15,0.014299028861383881
P0014,47,47,0.012556960106510145
P0015,10,10,0.007584618933782336
P0016,16,16,0.01747918872889916
P0017,65,65,0.0026111992918264673
P0018,14,14,0.007816449160308032
P0019,21,21,0.013271879805793847
P0020,91,91,0.004608273553903239
P0021,18,18,0.0029290423670886878
P0022,23,23,0.013234759392558455
P0023,25,25,0.0846509228257367
P0024,135,135,0.005147228874954053
P0025,39,39,0.002139430125247196
P0026,24,24,0.04790282702935529
P0027,15,15,0.022519889906029756
P0028,77,77,0.008045657784550285
P0029,15,15,0.017575402725991243
P0030,16,16,0.04817635572301438
P0031,48,48,0.005517608036024209
P0032,22,22,0.03034103660894655
P0033,12,12,0.016776149845308924
P0034,83,83,0.009226220288711937
P0035,14,14,0.009590532744245909
P0036,26,26,0.007474964460108157
P0037,15,15,0.03478257400400668
P0038,129,129,0.0036812994642835325
P0039,32,32,0.027668353744117653
P0040,10,10,0.007436669466150289
P0041,9,9,0.01104836958931344
P0042,9,9,0.006774398346678707
P0043,17,17,0.0042500110590731055
P0044,68,68,0.0025262332149428722
P0045,22,22,0.002445947321692191
P0046,134,134,0.0016273588775746325
P0047,24,24,0.010031267239437779
P0048,18,18,0.005656988505712098
P0049,19,19,0.006553287621131681
P0050,25,25,0.007358928581952654
P0051,14,14,0.06274344015761216
P0052,133,133,0.008436065829223644
P0053,17,17,0.009124186538605118
P0054,53,53,0.06410930088088235
P0055,36,36,0.02350746794746633
P0056,13,13,0.023319309084773934
P0057,43,43,0.015481814470246385
P0058,55,55,0.004170789536191191
P0059,7,7,0.0520878946291069
P0060,58,58,0.01204985121950493
P0061,25,25,0.04611588549457567
P0062,38,38,0.0028873405181141522
P0063,13,13,0.013176862455077596
P0064,110,110,0.008220112865512845
P0065,21,21,0.004763167387972859
P0066,27,27,0.00583721807274568
P0067,26,26,0.0181464738210958
P0068,76,76,0.016727964376144187
P0069,27,27,0.011683265574286577
P0070,7,7,0.009827165117321896
P0071,12,12,0.01712145800979554
P0072,89,89,0.005474170348528912
P0073,29,29,0.002670402424281534
P0074,6,6,0.02886134042488214
P0075,13,13,0.004469947526328174
P0076,19,19,0.0132239044727902
P0077,42,42,0.018480061848177617
P0078,22,22,0.010165007368711518
P0079,6,6,0.012160739106484873
P0080,25,25,0.05277126120241824
P0081,7,7,0.03721254911651616
P0082,37,37,0.01511892661609053
P0083,10,10,0.018430831995447008
P0084,18,18,0.007599508116865383
P0085,22,22,0.003069286731013584
P0086,27,27,0.010709139228220792
P0087,12,12,0.015009631399859846
P0088,20,20,0.036149869909718746
P0089,32,32,0.01972597649119008
P0090,83,83,0.01058906659139173
P0091,17,17,0.0313507937597795
P0092,34,34,0.09929490254854036
P0093,31,31,0.00446029208156061
P0094,48,48,0.0032572986065409286
P0095,9,9,0.025500407577682026
P0096,25,25,0.009558664704520197
P0097,88,88,0.008462869480520616
P0098,13,13,0.012744018131004212
P0099,28,28,0.004774754310626907
P0100,5,5,0.03654204782847047
P0101,25,25,0.006508764589741199
P0102,44,44,0.010377816847640959
P0103,14,14,0.009545485704178857
P0104,49,49,0.006477595956325198
P0105,35,35,0.005276490140665825
P0106,15,15,0.014036932020358713
P0107,14,14,0.007836111087559277
P0108,15,15,0.009585324303249466
P0109,19,19,0.004099939767835487
P0110,24,24,0.041474891839148695
P0111,8,8,0.023825397370898335
P0112,14,14,0.00815276472135581
P0113,29,29,0.015404192817292989
P0114,13,13,0.051844936542825196
P0115,20,20,0.036106553357517404
P0116,18,18,0.006716592524844834
P0117,15,15,0.024416502973399205
P0118,32,32,0.012459740401270574
P0119,43,43,0.012051072052704566
P0120,26,26,0.008752966009976925
P0121,6,6,0.08459267941094484
P0122,12,12,0.04620590296750988
P0123,45,45,0.009670424853408237
P0124,12,12,0.07374745488206205
P0125,18,18,0.0763065424039156
P0126,38,38,0.01184966287803323
P0127,14,14,0.02022569911241929
P0128,9,9,0.045247943127340505
P0129,10,10,0.021853206988321203
P0130,10,10,0.005870124400127436
P0131,21,21,0.009151227129820989
P0132,12,12,0.0076353060276073996
P0133,13,13,0.009905232057538764
P0134,25,25,0.03819117288106754
P0135,13,13,0.12263994478842281
P0136,29,29,0.0022882748045645104
P0137,42,42,0.010916654356860575
P0138,17,17,0.01037791850426519
P0139,15,15,0.03388220054540876
P0140,18,18,0.008271537247248587
P0141,26,26,0.007572285473107418
P0142,58,58,0.007039176190330744
P0143,40,40,0.0037324821189467397
P0144,15,15,0.025824367464815586
P0145,19,19,0.018705976200614614
P0146,13,13,0.014255930424252663
P0147,29,29,0.004583403828924104
P0148,50,50,0.0066988089814994205
P0149,19,19,0.06664854000153123
P0150,20,20,0.07602980700654827
P0151,22,22,0.02754047750519772
P0152,18,18,0.014336789455151471
P0153,19,19,0.01168529550921996
P0154,22,22,0.018772771808582653
P0155,10,10,0.006998982960300732
P0156,18,18,0.008522145475226004
P0157,13,13,0.008129773453434764
P0158,13,13,0.019695616591315912
P0159,20,20,0.0060859850770758365
P0160,25,25,0.012508771126623817
P0161,18,18,0.009621925888849256
P0162,13,13,0.00492038679558629
P0163,53,53,0.009705769046516745
P0164,14,14,0.013725959492086083
P0165,12,12,0.00514394898147465
P0166,48,48,0.003893556668996361
P0167,93,93,0.009679857335882829
P0168,31,31,0.005649810836144324
P0169,16,16,0.024441441082540934
P0170,40,40,0.0014293944893837291
P0171,28,28,0.003782469011389984
P0172,10,10,0.002351287269001873
P0173,13,13,0.005861538124959322
P0174,37,37,0.0267876965863109
P0175,13,13,0.018941851829186382
P0176,16,16,0.010303348530847696
P0177,21,21,0.020259758453350256
P0178,9,9,0.027347296496513705
P0179,20,20,0.005977408553392583
P0180,183,183,0.011209995087532657
P0181,19,19,0.018766719233860862
P0182,34,34,0.004395357760306999
P0183,18,18,0.014297190422583119
P0184,21,21,0.019363220687897673
P0185,18,18,0.016978938212714356
P0186,33,33,0.036615025653188006
P0187,26,26,0.005349667089701026
P0188,11,11,0.02302378049462124
P0189,22,22,0.006482197531762134
P0190,4,4,0.12545521114442001
P0191,25,25,0.0052564802680461825
P0192,34,34,0.02092087453936625
P0193,103,103,0.007097845262455993
P0194,26,26,0.013908840376829455
P0195,17,17,0.007138101801562499
P0196,18,18,0.006844077898490225
P0197,16,16,0.0397142057192912
P0198,7,7,0.007344421508472097
P0199,26,26,0.005642831118382142
P0200,18,18,0.0896729437667036
P0201,24,24,0.008067198725011398
P0202,38,38,0.01600978707977895
P0203,16,16,0.060856913119029486
P0204,12,12,0.0196887570667296
P0205,16,16,0.015399141580976048
P0206,46,46,0.004091964136869948
P0207,20,20,0.009274291776516626
P0208,21,21,0.02448268502204976
P0209,17,17,0.021698010576494377
P0210,13,13,0.010271462194862453
P0211,30,30,0.009188342516187355
P0212,12,12,0.01386341161801383
P0213,19,19,0.0057541494588142054
P0214,21,21,0.006959632867026019
P0215,18,18,0.0224722965659529
P0216,22,22,0.016032014470798023
P0217,10,10,0.012177325901284642
P0218,4,4,0.06457085089773008
P0219,18,18,0.028827571950613595
P0220,17,17,0.010125437596201044
P0221,5,5,0.03315035776005392
P0222,22,22,0.017369873722725197
P0223,16,16,0.019674372688594146
P0224,7,7,0.018114231938296917
P0225,5,5,0.016674642715340464
P0226,22,22,0.00639142546215602
P0227,13,13,0.17776591916892082
P0228,21,21,0.03326532801586187
P0229,18,18,0.008101361835521506
P0230,9,9,0.007957683544509214
P0231,24,24,0.0680809300464809
P0232,11,11,0.029946043224685803
P0233,15,15,0.018762677427157717
P0234,11,11,0.010746323962864873
P0235,13,13,0.03634808819570023
P0236,20,20,0.007927689779373219
P0237,118,118,0.0027698386737698053
P0238,23,23,0.007848756546917466
P0239,8,8,0.017344689568922184
P0240,16,16,0.01243436209467342
P0241,11,11,0.06930017553865299
P0242,28,28,0.022371106552365523
P0243,9,9,0.015861306405569594
P0244,12,12,0.017298374756860673
P0245,18,18,0.00952496105737787
P0246,12,12,0.007716551618754415
P0247,18,18,0.012732493999583233
P0248,23,23,0.013381587943037395
P0249,15,15,0.024091206639154837
