,,,common_delta_mag,common_delta_mag,common_delta_mag,band_jackknife_max,band_jackknife_max,band_jackknife_max,epoch_jackknife_max,epoch_jackknife_max,epoch_jackknife_max,systematic_common_rms,systematic_common_rms,systematic_common_rms
,,,count,median,<lambda_0>,count,median,<lambda_0>,count,median,<lambda_0>,count,median,<lambda_0>
dataset,IDSURVEY,status,,,,,,,,,,,,
DES,5,ok,8,0.0608140392856201,0.0932444539279094,8,0.0245338569894252,0.04723901602103954,8,0.05199141800238315,0.13503241632065682,8,0.00520836838567215,0.00631850845159657
DES,10,local_fit_not_converged,20,-0.027941640446935298,0.0323877644538629,20,0.16895427683818331,0.5899702992828999,20,0.27494789204571696,0.9042135866802304,20,0.0034486167374903,0.008165394770117572
DES,10,ok,1603,0.0091962746771644,0.043608730124746635,1603,0.0539157647303674,0.14459407842749145,1603,0.0846392483445761,0.2890522081762239,1603,0.0025407806074627,0.0042491715836379595
DES,63,local_fit_not_converged,1,-0.2206202580743455,-0.2206202580743455,1,0.3102196178274239,0.3102196178274239,1,0.062744974358465,0.062744974358465,1,0.0260728895944014,0.0260728895944014
DES,63,ok,15,0.0212315033477739,0.050155503665798094,15,0.0495768469847721,0.08471122773187766,15,0.078039228586265,0.3355981293938169,15,0.008247228402493,0.013034080691626638
DES,64,ok,31,0.0289052215019474,0.0811228111175011,31,0.0330551518647887,0.0843766637338424,31,0.0424226275748342,0.1144165424097784,31,0.0089655715815232,0.0133169904942769
DES,65,ok,22,0.02465228615921605,0.08336469639912919,22,0.03370188719526405,0.07225128347483471,22,0.052657524677723555,0.41643040766928796,22,0.0066859567480526995,0.011221404810322189
DES,66,ok,3,0.0459213356946411,0.07169067516406381,3,0.043188185209593,0.23696924531194652,3,0.038728484567484,0.3516838688797901,3,0.0079527056072473,0.013914546727253861
DES,150,local_fit_not_converged,1,-0.2500511684612573,-0.2500511684612573,1,0.2853077191181966,0.2853077191181966,1,0.4178997380945241,0.4178997380945241,1,0.0084700137609003,0.0084700137609003
DES,150,ok,116,0.0385511209642894,0.0767110309029298,116,0.06797242754709185,0.18102292490977445,116,0.0544916737229349,0.17894472641363796,116,0.0029041240530356003,0.0042360831547922
