sn_block,rows,uids,RA,DEC,zHD,surveys
DES:1246275,1,D0310,54.647026,-26.401205,0.24605,10
DES:1246281,1,D0496,53.725414,-27.622061,0.33549,10
DES:1246314,1,D0648,54.836567,-26.640186,0.38337,10
DES:1246334,1,D1293,54.711472,-27.71468,0.60861,10
DES:1246527,1,D0449,36.018959,-5.016278,0.32078,10
DES:1246529,1,D0953,36.113865,-4.944012,0.49677,10
DES:1246626,1,D0670,37.30658,-4.333969,0.39282,10
DES:1246650,1,D1771,35.910469,-5.107677,0.90888,10
DES:1246758,1,D1051,36.618942,-5.53918,0.53127,10
DES:1246791,1,D1722,36.319378,-4.575553,0.83066,10
DES:1246796,1,D1129,36.509102,-4.45498,0.55502,10
DES:1247022,1,D0574,9.673174,-44.390999,0.35763,10
DES:1247420,1,D0218,34.056496,-4.197978,0.15026,10
DES:1247537,1,D0845,34.025147,-5.010933,0.45565,10
DES:1247570,1,D1206,33.701939,-4.508135,0.57927,10
DES:1248039,1,D0279,34.858139,-6.177352,0.22566,10
DES:1248084,1,D0365,36.337151,-5.321758,0.28063,10
DES:1248243,1,D0454,42.39146,-0.417734,0.32394,10
DES:1248677,1,D0554,53.646217,-28.127001,0.35016,10
DES:1248925,1,D0526,7.489678,-42.731381,0.34307,10
DES:1248936,1,D1183,8.16152,-43.461304,0.57093,10
DES:1248962,1,D0917,7.808602,-43.090942,0.48342,10
DES:1249090,1,D0654,8.479995,-42.31237,0.3862,10
DES:1249137,1,D0275,8.135224,-42.493057,0.22305,10
DES:1249178,1,D1644,6.957144,-43.08107,0.76517,10
DES:1249182,1,D1147,6.82,-42.573868,0.56017,10
DES:1249209,1,D0916,6.962916,-42.385231,0.48312,10
DES:1249245,1,D0617,8.421629,-44.601704,0.36834,10
DES:1249264,1,D1106,8.183639,-43.873089,0.54968,10
DES:1249304,1,D1389,40.629578,-1.440712,0.63681,10
DES:1249308,1,D0281,40.863659,-1.601682,0.22806,10
DES:1249342,1,D1429,41.799267,-0.257793,0.65098,10
DES:1249371,1,D0816,41.362919,-0.253625,0.45085,10
DES:1249395,1,D1130,41.475582,-1.550186,0.55513,10
DES:1249416,1,D0477,40.912281,-1.748792,0.33169,10
DES:1249483,1,D0368,40.632134,-0.842623,0.28303,10
DES:1249805,1,D0522,54.046745,-29.787649,0.34273,10
DES:1249851,1,D0257,55.218029,-29.399984,0.21511,10
DES:1249956,1,D0803,6.984844,-42.44376,0.44628,10
DES:1249970,1,D0339,10.491207,-43.734085,0.26775,10
DES:1250017,1,D0230,43.193733,-0.127481,0.18216,10
DES:1250034,1,D0223,43.029656,-0.415255,0.16085,10
DES:1250120,1,D1539,42.918236,-0.236987,0.69088,10
DES:1250275,1,D0646,41.613308,-1.613983,0.38323,10
DES:1250279,1,D0353,41.090176,-1.465227,0.27382,10
DES:1250357,1,D0577,41.880974,-0.61663,0.35843,10
DES:1250397,1,D1400,33.92968,-5.449767,0.64304,10
DES:1250435,1,D0939,33.790329,-4.626687,0.49292,10
DES:1250454,1,D1674,35.299789,-4.53557,0.78734,10
DES:1250532,1,D1037,35.564694,-6.959802,0.5277,10
DES:1250665,1,D0392,36.71315,-4.498711,0.29461,10
DES:1250803,1,D1791,52.946167,-27.847559,0.96329,10
DES:1250823,1,D1479,52.689018,-27.5611,0.66487,10
DES:1250852,1,D1664,52.148945,-28.639742,0.77725,10
DES:1250858,1,D1741,53.266316,-28.243347,0.85707,10
DES:1250882,1,D1623,52.342468,-27.73279,0.74658,10
DES:1250896,1,D1757,37.018997,-4.910972,0.87971,10
DES:1250912,1,D0267,36.689526,-3.992602,0.21898,10
DES:1250916,1,D1487,37.153248,-4.299087,0.66948,10
DES:1250925,1,D1114,37.094894,-4.009557,0.55146,10
DES:1250950,1,D1563,36.955776,-4.624587,0.70099,10
DES:1250980,1,D1712,35.794376,-4.459983,0.81967,10
DES:1251022,1,D1523,54.067162,-28.060537,0.68428,10
DES:1251114,1,D1362,53.801479,-28.814411,0.62632,10
DES:1251126,1,D1262,54.466965,-29.334354,0.59788,10
DES:1251225,1,D0764,8.748535,-44.666557,0.43172,10
DES:1251381,1,D0828,41.070629,-0.842135,0.45305,10
DES:1251390,1,D0772,40.859295,-1.746916,0.43398,10
DES:1251409,1,D1628,40.954784,-0.887192,0.74963,10
DES:1251436,1,D1188,41.620407,-0.263056,0.57349,10
DES:1251536,1,D1036,34.97192,-6.933254,0.52727,10
DES:1251552,1,D0569,36.367436,-6.00684,0.35484,10
DES:1251600,1,D1138,35.695145,-4.22814,0.5576,10
DES:1251603,1,D1376,35.795975,-4.214051,0.63033,10
DES:1251618,1,D1715,36.348541,-4.165977,0.82172,10
DES:1251645,1,D1649,36.637634,-4.341052,0.76679,10
DES:1251652,1,D1653,36.853241,-5.378987,0.77155,10
DES:1251975,1,D0805,35.061047,-5.824066,0.44647,10
DES:1252142,1,D1119,53.499386,-29.53405,0.55288,10
DES:1252183,1,D1795,52.745983,-28.221069,0.97242,10
DES:1252199,1,D1280,53.223419,-27.416075,0.60498,10
DES:1252225,1,D1010,53.215588,-28.177155,0.51956,10
DES:1252237,1,D1764,52.26918,-28.083105,0.8858,10
DES:1252313,1,D1259,8.332176,-43.889019,0.59692,10
DES:1252364,1,D1077,7.277269,-42.313549,0.54134,10
DES:1252513,1,D0901,54.586571,-27.557074,0.47767,10
